objectid,filename,subject,title,format,description,creator,date,publisher,item_information,contributor,location,identifier,rights,rightsstatement,type,language
coll011,item11,"Digitization, digitization standards, digital preservation, moving images, multimedia",Digitization Best Practices for Moving Images,pdf,"""Guidelines for digitizing moving image materials for CARLI
Digital Collections.""",CARLI,2020,Consortium of Academic and Research Libraries in Illinois,guidelines,CARLI Digital Collections Users’ Group,"CARLI, Illinois",https://www.carli.illinois.edu/sites/files/digital_collections/documentation/guidelines_for_video.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll012,item12,"Digitization standards, digitization equipment, digitization guidelines, digital preservation",DPC Audio/Video Digitization Standards & Equipment,website,Describes the audio and video standards for Duke University libraries.,Duke University Libraries ,2015,Duke University,guidelines,Digital Production Center,"Duke University, Durham, NC",https://library.duke.edu/about/digital-production-center/avstandards#Video,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll013,item13,"Audio, digitization standards, digital preservation",Digitization Best Practices for Audio,pdf, Guidelines for digitizing audio materials.,CARLI,2020,Consortium of Academic and Research Libraries in Illinois,guidelines,CARLI Digital Collections Users’ Group,"CARLI, Illinois",https://www.carli.illinois.edu/sites/files/digital_collections/documentation/guidelines_for_audio.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll014,item14,"Newspaper, media, digitization, guidelines","National Digital Newspaper Program: Guidelines & Resources
",website,A compilation of guidelines and resources related to newspaper digitization.,Library of Congress,2024 (last updated),Library of Congress,guidelines,,"Library of Congress, Washington, DC",https://www.loc.gov/ndnp/guidelines/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll015,item15,"Newspaper, media, digitization, digital preservation","ICON (International Coalition on Newspapers)
",website,"""This page highlights and links to past, present, and prospective digitization projects of historic newspapers. The focus is primarily on digital conversion efforts, not full-text collections of current news sources.""",ICON,1999 (date established),ICON,compilation of resources,,ICON,http://icon.crl.edu/digitization.php,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,compilation of resources,English
coll016,item16,"Digitization, digitization standards, digital preservation, 3D objects, multimedia",Digitization Best Practices for Three-Dimensional Objects,pdf,"""Topics covered in this document include image capture, image management, adding
compound objects to CONTENTdm, and metadata.""",CARLI,2020,Consortium of Academic and Research Libraries in Illinois,guidelines,CARLI Digital Collections Users’ Group,"CARLI, Illinois",https://www.carli.illinois.edu/sites/files/digital_collections/documentation/guidelines_for_3D.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll017,item17,"metadata, Digital preservation, metadata standards, MARC, dublin core","MARC to Dublin Core Crosswalk
",website,Used in conversion of metadata from MARC into Dublin Core.,"Development and MARC Standards Office, LOC",2008,Library of Congress,guidelines,,"Library of Congress, Washington, DC",https://www.loc.gov/marc/marc2dc.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,guidelines,English
coll018,item18,"metadata, tools, software, digital preservation",MarcEdit,website,Software that allows users to edit and manage MARC records.,Terry Reese,2023 (last updated),Terry Reese,software,Kyle Banerjee,Ohio,https://marcedit.reeset.net/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll019,item19,"metadata, tools, software, digital preservation",OpenRefine,website,Metadata editing software.,,2024 (last updated),,software,,,https://openrefine.org/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll020,item20,"metadata, tools, software, digital preservation","xslt cover page
",website,XSLT is one of a suite of XML-related standards from the W3C. It can be used for mapping from one metadata format to another.,Tim Berners-Lee,2021 (last updated),X3C,software,Tim Berners-Lee,,https://www.w3.org/TR/xslt/all/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll021,item21,"metadata, tutorial, guide, presentation, python, archives, digital preservation",Repurposing Archival Metadata,pdf,"This is a presentation of a student project in which the author developeda Python script
that will extract selected XML metadata from an EAD encoded finding aid and export it as a CSV file.",Jackie Rider,2016,Pratt Institute,presentation,,"Pratt Institute, New York",http://pfch.nyc/repurposing_archival_metadata/project.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,presentation,English
coll022,item22,"excel, metadata, online course",Excel for Librarians,website,"This class will teach the basics of working in Excel, including entering, structuring, manipulating, importing and exporting data. It will also cover some Excel functions and tools for basic data analysis.",Greer Martin,2024,Library Juice Academy,course,Library Juice Academy,"LJA, Sacremento, CA",https://libraryjuiceacademy.com/shop/course/222-excel-for-librarians/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,course,English
coll023,item23,"open refine, metadata, tutorials, templates",Library Carpentry: OpenRefine,website,"This Library Carpentry lesson introduces people working in library- and information-related roles to working with data in OpenRefine. At the conclusion of the lesson you will understand what the OpenRefine software does and how to use the OpenRefine software to work with data files.
","Erin Carillo, Owen Stephens, Juliane Schneider, Paul R. Pival, Kristin Lee, Carmi Cronje, James Baker, Christopher Erdmann, Tim Dennis, Daniel Bangert, Evan Williamson, Jeffrey Oliver ",2019,The Carpentries,lessons,Library Carpentry,https://github.com/librarycarpentry/lc-open-refine/,https://librarycarpentry.org/lc-open-refine/profiles.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,lessons,English
coll024,item24,"spreadsheets, metadata, tutorials, data, digital preservation",Tidy Data for Librarians,website,This lesson was designed to teach the principles of working with data in spreadsheets.,"Erin Carillo, Owen Stephens, Juliane Schneider, Paul R. Pival, Kristin Lee, Carmi Cronje, James Baker, Christopher Erdmann, Tim Dennis, Daniel Bangert, Evan Williamson, Jeffrey Oliver 
",2019,The Carpentries,lessons,Library Carpentry,https://github.com/librarycarpentry/lc-spreadsheets/,https://librarycarpentry.org/lc-spreadsheets/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,lessons,English
coll025,item25,"MarcEdit, metadata, lessons, courses, digital preservation","Using MarcEdit
",website,"This four week course will provide hands-on instruction to build, edit and manipulate library data using MarcEdit. This course will cover both basic functionality as well as more sophisticated uses making it appropriate for both new and experienced users of MarcEdit.

",Natalie Hall,2024,Library Juice Academy,course,Library Juice Academy,"LJA, Sacremento, CA",https://libraryjuiceacademy.com/shop/course/180-using-marcedit/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,course,English
coll026,item26,"open refine, metadata, courses",Using OpenRefine for Library Metadata,website,"This course will introduce OpenRefine from a beginning level with installation, introduce how to effectively use standard features, and go on to introduce more advanced features such as reconciliation against Library of Congress Subject Headings linked data and creating an API call
",Greer Martin,2024,Library Juice Academy,course,Library Juice Academy,"LJA, Sacremento, CA",https://libraryjuiceacademy.com/shop/course/130-using-openrefine-library-metadata/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,course,English
coll027,item27,"digitization tools, digitization hardware, digitization technology, technology, tools",DT Heritage,website,"DT Heritage sells software and hardware tools for digitization in libraries, archives, museums, and more. They also provide guides and training for their digitization tools.","Mark Oster, Peter Siegel
",2024,DT Heritage,technology,,"Los Angeles, New York, and Washington DC",https://heritage-digitaltransitions.com/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll028,item28,"digitization tools, digitization hardware, digitization technology, technology, tools",Sound Blaster AE-7,website,This is their newest audio recording technology. The previous line was often recommended for audio recording and digitization. This new line records at 32 bits.,Creative Technology Ltd.,2024,Creative Technology Ltd.,technology,,Based in U.S.,https://us.creative.com/p/sound-cards/sound-blaster-ae-7,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll029,item29,"digitization tools, digitization hardware, digitization technology, technology, tools",Book Scanners,website,Book scanning hardware and software.,Atiz,2024,"Atiz Innovation CO., LTD.",technology,,Thailand,https://www.atiz.com/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll030,item30,"digitization tools, digitization hardware, digitization technology, technology, tools","Scanner, software or accessories",website,Scanning tools used for digitization.,Zeutschel GmbH,2024,Zeutschel GmbH,technology,,Germany,https://www.zeutschel.de/en/products/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll031,item31,"digitization tools, digitization hardware, digitization technology, technology, tools, cameras",Nikon DSLR Cameras,website,Cameras used for image capturing and digitization.,Nikon,2024,Nikon,technology,,Japan,https://www.nikonusa.com/en/nikon-products/dslr-cameras/index.page,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll032,item32,"digitization tools, digitization hardware, digitization technology, technology, tools, cameras",Canon DSLR Cameras,website,Cameras used for image capturing and digitization.,Canon,2024,Canon,technology,,Japan,https://www.usa.canon.com/shop/cameras/dslr-cameras,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll033,item33,"digitization tools, digitization hardware, digitization technology, technology, tools, cameras, image scanning, copystands",Copy Stands from B&H,website,"Copy stands allow for table-top, overhead pictures and image scanning.",B&H,2024,B&H,technology,,United States,https://www.bhphotovideo.com/c/buy/Copystands/ci/711/N/3715154809,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll034,item34,"digitization tools, digitization hardware, digitization technology, technology, tools, cameras, image scanning, tripods",Tripods,website,Cameras with tripods may be used in place of copy stands.,B&H,2024,B&H,technology,,United States,https://www.bhphotovideo.com/c/buy/Complete-Tripods-with-Heads/ci/2635/N/4052722025,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll035,item35,"digitization tools, digitization hardware, digitization technology, technology, tools, lighting",Tabletop Lighting,website,"Proper lighting is essential for quality image capturing. Tabletop lights, or other forms of lighting may be used for better quality photos.",B&H,2024,B&H,technology,,United States,https://www.bhphotovideo.com/c/product/1393516-REG/studio_essentials_flu101_table_top_fluorescent_2_light.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll036,item36,"digitization tools, digitization hardware, digitization technology, technology, tools, film scanner",Super COOLSCAN 5000 ED,website,"This film scanner can scan 35mm film strips, 35mm slides, glass slides for microscopes, and APS (IX240) film.",Nikon,2024,Nikon,technology,,Japan,https://www.nikonusa.com/en/nikon-products/product-archive/film-scanners/super-coolscan-5000-ed.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll037,item37,"digitization tools, digitization hardware, digitization technology, technology, tools, film scanner, software",Sanner Software,website,This software is recommended for use with a film scanner.,SilverFast,2024,SilverFast,software,,Germany,https://www.silverfast.com/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll038,item38,"digitization tools, digitization hardware, digitization technology, technology, tools, flatbed scanner",Epson Perfection V600 Photo Scanner,website,"Flatbed scanners can be used for book, image, and film scanning.",Epson,2024,Epson,technology,,Japan,https://epson.com/For-Home/Scanners/Photo-Scanners/Epson-Perfection-V600-Photo-Scanner/p/B11B198011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll039,item39,"digitization tools, digitization hardware, digitization technology, technology, tools, software",Tools: ADCTest,website,ADCTest is an open source software application designed to facilitate performance testing of analog-to-digital converters (ADC).,Federal Agencies Digitization Guidelines Initiative,2017,FADGI,software,,United States,https://www.digitizationguidelines.gov/guidelines/digitize-ADCTest.html,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll040,item40,"digitization tools, digitization hardware, digitization technology, technology, tools, scanner",OpticSlim 1180,website,"This scanner is designed for larger print materials like blueprints, large format magazines, and open books.",Plustek,2024,Plustek,technology,,United States,https://plustek.com/us/products/flatbed-scanners/opticslim-1180/index.php,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,technology,English
coll041,item41,"digitization tools, digitization hardware, digitization technology, technology, tools, software",VueScan Scanner Software,website,"""VueScan supports over 7400 scanners from 42 manufacturers"" and is a recommended software to use when older equipment is no longer supported.",VueScan,2024,Hamrick Software,software,,United States,https://www.hamrick.com/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll042,item42,"digitization tools, digitization hardware, digitization technology, technology, tools, software",Scanitto Pro,website,"""Scanitto Pro offers one-click scanning and copying through TWAIN drivers, which provide exceptional scan/copy quality and speed. In addition, Scanitto Pro seamlessly integrates with Windows to provide a complete document management environment which is intuitive and very easy to use. Unlike more complex solutions aimed at purely professional use, this product is simple enough for regular users with no technical background and no prior experience with this type of software.""
",Masters ITC Software,2022,Masters ITC Software,software,,United States,https://www.scanitto.com/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,software,English
coll043,item43,"digitization tools, digitization hardware, digitization technology, technology, tools, equipment",Scanning and Digitization Equipment,website,This article lists the scanning and digitization equipment used and managed by UNC-Chapel Hill’s Wilson Special Collection Library’s Digital Production Center.,DigitalNC,2023, North Carolina Digital Heritage Center,article,"North Carolina Department of Natural and Cultural Resources, UNC-Chapel Hill Libraries","North Carolina, U.S.",https://www.digitalnc.org/resources/digital-collections/equipment/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,article,English
